single strand break repair
carbamyl phosphate biosynthetic process
regulation of haem biosynthesis
regulation of heme anabolism
regulation of heme biosynthesis
regulation of heme formation
regulation of heme synthesis
cadmium ion membrane transport
calcium ion membrane transport
cell wall polysaccharide anabolism
cell wall polysaccharide biosynthesis
cell wall polysaccharide synthesis
regulation of thiamine anabolism
regulation of thiamine biosynthesis
regulation of thiamine formation
regulation of thiamine synthesis
alpha-1,4 glucan metabolic process
L-threonine breakdown to propionate
L-threonine catabolism to propionate
L-threonine degradation to propionate
L-threonine breakdown to acetyl-CoA
L-threonine catabolism to acetyl-CoA
L-threonine degradation to acetyl-CoA
global genomic nucleotide-excision repair
regulation of phospholipid anabolism
regulation of phospholipid biosynthesis
regulation of phospholipid formation
regulation of phospholipid synthesis
cellular response to arsenic
cellular response to metal
cellular response to cadmium
cellular response to copper
cellular response to mercury
cellular response to tellurium
cellular response to LHPO
cellular redox signal response
cellular osmotic stress response
cellular cell wall organisation
cellular cell wall organization
bacterial-type flagellar cell motility
flagellin-based flagellar cell motility
bacterial-type flagellar swimming motility
bacterial-type flagellum-mediated cell swimming
bacterial-type flagellar swarming motility
bacterial-type flagellum-mediated cell swarming
intracellular copper ion retention
intracellular copper ion sequestering
intracellular copper ion sequestration
intracellular copper ion storage
quinone cofactor metabolic process
quinone cofactor catabolic process
' cAMP biosynthetic process
' cAMP catabolic process
' cAMP metabolic process
2A activity positive regulation
3',5 ' cAMP biosynthetic
3',5 ' cAMP catabolic
3',5 ' cAMP metabolic
5-methyl ester biosynthetic process
B-cell mediated immune response
D-alanine family amino acid
GPI anchor biosynthetic process
GTPase mediated signal transduction
JA-mediated signal transduction pathway
L-cysteine breakdown via cystine
L-cysteine catabolic process via
L-cysteine degradation via cystine
L-glutamato L-histidino L-serinyl nickel
L-histidino L-serinyl nickel triiron
L-homoserine via cystathionine L-methionine
MAP kinase-mediated signal transduction
MAPK-mediated signal transduction pathway
NAD P H oxidase
P H oxidase activity
Rho protein signal transduction
SA-mediated signal transduction pathway
T-cell mediated immune response
abscisic acid biosynthetic process
acetyl-CoA via 5-aminopentanamide L-lysine
acetyl-CoA via saccharopine L-lysine
acid 5-methyl ester anabolism
acid 5-methyl ester biosynthetic
acid 5-methyl ester formation
acid 5-methyl ester synthesis
acid N-linked glycosylation via
acid O-linked glycosylation via
acid biosynthetic process negative
acid biosynthetic process positive
acid cis-14-hydroxy-10,13-dioxo-7-heptadecenoic acid peptidyl-aspartate
acid family biosynthetic process
acid metabolic process downregulation
acid metabolic process inhibition
acid metabolic process negative
acid metabolic process positive
acid metabolic process up-regulation
acid metabolic process upregulation
acid peptide cross-linking via
acid-mediated defense response modulation
acid-mediated defense response positive
acid-mediated signal transduction pathway
active oxygen species production
active site formation via
adenine dinucleotide biosynthetic process
adenine dinucleotide metabolic process
adenine dinucleotide phosphate biosynthetic
adenine dinucleotide phosphate catabolic
adenine dinucleotide phosphate metabolic
adenosine 3',5'-cyclophosphate biosynthetic process
adenosine 3',5'-cyclophosphate catabolic process
adenosine 3',5'-cyclophosphate metabolic process
adenylate cyclase-mediated signal transduction
amino acid N-linked glycosylation
amino acid O-linked glycosylation
amino acid biosynthetic process
amino acid catabolic process
amino acid family biosynthetic
amino acid metabolic process
amyloid precursor protein anabolism
amyloid precursor protein biosynthesis
amyloid precursor protein biosynthetic
amyloid precursor protein formation
amyloid precursor protein synthesis
anabolism polysaccharide chain anabolism
anchor biosynthetic process via
apoptotic programmed cell death
arginine using agmatinase putrescine
arginine via N-carbamoylputrescine putrescine
aromatic amino acid family
aspartate family amino acid
base metabolic process negative
base metabolic process positive
biosynthesis polysaccharide chain biosynthesis
biosynthesis polysaccharide chain biosynthetic
biosynthesis via diaminopimelic acid
biosynthetic process amino acid
biosynthetic process enzymatic modification
biosynthetic process negative regulation
biosynthetic process polysaccharide chain
biosynthetic process positive regulation
biosynthetic process via diaminopimelate
biosynthetic process via diaminopimelic
bis molybdopterin guanine dinucleotide
bis-L-glutamato L-histidino nickel triiron
branched chain family amino
break repair via homologous
break repair via single-strand
breakdown via cystine using
cAMP biosynthetic process negative
cAMP catabolic process negative
cAMP metabolic process negative
calcium ion flux positive
calcium-dependent protein kinase pathway
catabolic process negative regulation
catabolic process positive regulation
catabolic process via cystine
cell surface receptor linked
cell wall callose deposition
cellular amino acid derivative
cellular amino acid metabolic
cellular level cellular component
cellular modified amino acid
cellular protein catabolic process
chain family amino acid
chondroitin sulfate B proteoglycan
chorismate via 4-hydroxyphenylpyruvate tyrosine
chorismate via L-arogenate L-phenylalanine
chorismate via L-phenylalanine tyrosine
chorismate via phenylpyruvate L-phenylalanine
cis-14-hydroxy-10,13-dioxo-7-heptadecenoic acid peptidyl-aspartate ester
cluster via pentakis-L-cysteinyl L-histidino
cluster via tris-L-cysteinyl L-cysteine
cyclic AMP biosynthetic process
cyclic AMP catabolic process
cyclic AMP metabolic process
cyclic nucleotide biosynthetic process
cyclic nucleotide catabolic process
cyclic nucleotide metabolic process
cystathionine L-methionine biosynthetic process
cystine using cysteine transaminase
cystine using cystine reductase
cystine using glutathione-cystine transhydrogenase
defense response positive regulation
defense-related MAP kinase-mediated signal
defense-related MAPK-mediated signal transduction
defense-related SA-mediated signal transduction
defense-related active oxygen species
defense-related calcium ion flux
defense-related calcium-dependent protein kinase
defense-related cell wall callose
defense-related cell wall thickening
defense-related ethylene-mediated signal transduction
defense-related host AOS production
defense-related host MAP kinase-mediated
defense-related host MAPK-mediated signal
defense-related host ROI production
defense-related host ROS production
defense-related host SA-mediated signal
defense-related host active oxygen
defense-related host calcium ion
defense-related host calcium-dependent protein
defense-related host callose deposition
defense-related host cell wall
defense-related host ethylene-mediated signal
defense-related host jasmonic acid-mediated
defense-related host metabolic burst
defense-related host nitric oxide
defense-related host oxidative burst
defense-related host reactive oxidative
defense-related host reactive oxygen
defense-related host respiratory burst
defense-related host salicylic acid-mediated
defense-related jasmonic acid-mediated signal
defense-related nitric oxide production
defense-related reactive oxidative species
defense-related reactive oxygen intermediate
defense-related reactive oxygen species
defense-related salicylic acid-mediated signal
defensive cell wall thickening
degradation via cystine using
deoxyhypusine using deoxyhypusine synthase
derivative biosynthetic process vitamin
derivative catabolic process vitamin
derivative metabolic process vitamin
diaminopimelate dehydrogenase pathway lysine
diaminopimelate diaminopimelate-aminotransferase pathway lysine
dinucleotide phosphate biosynthetic process
dinucleotide phosphate catabolic process
dinucleotide phosphate metabolic process
diphosphate biosynthetic process negative
donor aerobic respiration using
double-strand break repair via
electron donor aerobic respiration
enzyme active site formation
ethylene-mediated signal transduction pathway
family amino acid biosynthetic
family amino acid catabolic
family amino acid metabolic
fatty acid biosynthetic process
fatty acid metabolic process
formation polysaccharide chain biosynthesis
formation polysaccharide chain formation
fumarate using glutamate synthase
gene-dependent defense response positive
glutamine family amino acid
glycogen biosynthetic process positive
group metabolic process negative
group metabolic process positive
heparan sulfate proteoglycan anabolism
heparan sulfate proteoglycan biosynthetic
heparan sulfate proteoglycan formation
heparan sulfate proteoglycan synthesis
heparan sulphate proteoglycan biosynthesis
heparin proteoglycan biosynthetic process
histidine family amino acid
host B-cell mediated immune
host JA-mediated defense response
host MAP kinase-mediated signal
host MAPK-mediated signal transduction
host Rho protein signal
host SA-mediated defense response
host SA-mediated signal transduction
host T-cell mediated immune
host active oxygen species
host adenylate cyclase-mediated signal
host apoptotic programmed cell
host cGMP-mediated signal transduction
host calcium ion flux
host calcium-dependent protein kinase
host callose deposition modulation
host cell cytoplasm modulation
host cell wall callose
host cell wall peptidoglycan
host cell wall thickening
host cell-mediated immune response
host cholinergic synaptic transmission
host defensive cell wall
host ethylene-mediated defense response
host ethylene-mediated signal transduction
host induced systemic resistance
host innate immune response
host innate immunity activation
host innate immunity inhibition
host innate immunity modulation
host innate immunity negative
host innate immunity suppression
host jasmonic acid-mediated defense
host jasmonic acid-mediated signal
host nitric oxide production
host nitric oxide-mediated signal
host programmed cell death
host reactive oxidative species
host reactive oxygen intermediate
host reactive oxygen species
host resistance gene-dependent defense
host salicylic acid-mediated defense
host salicylic acid-mediated signal
host signal transduction pathway
host small GTPase mediated
host systemic acquired resistance
host via protein secreted
host via substance released
immune response negative regulation
induced host innate immunity
innate immune response negative
innate immunity negative regulation
interaction negative energy taxis
interaction pathogen-associated molecular pattern
interaction positive energy taxis
ion flux positive regulation
iron-sulfur cluster via tetrakis-L-cysteinyl
iron-sulfur cluster via tris-L-cysteinyl
iron-sulphur cluster via tetrakis-L-cysteinyl
iron-sulphur cluster via tris-L-cysteinyl
isopentenyl diphosphate biosynthetic process
jasmonic acid-mediated defense response
jasmonic acid-mediated signal transduction
kinase pathway positive regulation
kinase-mediated signal transduction pathway
linkage via dihydroxyheme-L-aspartyl ester-L-glutamyl
lysine anabolism via diaminopimelate
lysine biosynthesis via diaminopimelic
lysine biosynthetic process via
lysine formation via diaminopimelate
lysine synthesis via diaminopimelate
mediated immune response modulation
mediated signal transduction modulation
membrane protein ectodomain proteolysis
metabolic process negative regulation
metabolic process positive regulation
methylglyoxal via R -lactaldehyde
methyltransferase cofactor lysine adduct
microbe-associated molecular pattern-induced host
mitogen-activated protein kinase-mediated signal
molecular pattern dependent induction
molecular pattern-induced host innate
molecular pattern-induced innate immunity
monomethylamine methyltransferase cofactor lysine
nickel triiron disulfide trioxide
nickel triiron disulphide trioxide
nicotinamide adenine dinucleotide phosphate
nitric oxide production positive
nitric oxide-mediated signal transduction
non-apoptotic programmed cell death
nucleic acid metabolic process
nucleobase metabolic process negative
nucleobase metabolic process positive
nucleobase-containing compound metabolic process
nucleotide biosynthetic process negative
nucleotide biosynthetic process positive
nucleotide catabolic process negative
nucleotide catabolic process positive
nucleotide metabolic process negative
nucleotide metabolic process positive
nucleotide-excision repair DNA incision
organism via protein secreted
organism via secreted substance
organism via substance secreted
oxide production positive regulation
oxidized nicotinamide adenine dinucleotide
pathogen-associated molecular pattern dependent
pathogen-associated molecular pattern-induced host
pathogen-associated molecular pattern-induced innate
pathogen-race/host plant cultivar-specific resistance
pathway aromatic amino acid
pathway via two-component system
pattern-induced host innate immunity
pentakis-L-cysteinyl L-histidino nickel tetrairon
peptide cross-linking via L-cysteine
peptidyl-L-glutamic acid 5-methyl ester
peptidyl-cysteine peptidyl-L-cysteine methyl disulfide
peroxidase-heme linkage via dihydroxyheme-L-aspartyl
phosphatase type 2A activity
phosphatase type 2B activity
physiology via protein secreted
polypeptide heparan sulfate proteoglycan
polysaccharide chain biosynthetic process
precursor protein biosynthetic process
process aromatic amino acid
process aspartate family amino
process histidine family amino
process oxidized nicotinamide adenine
process polysaccharide chain biosynthetic
process pyruvate family amino
process reduced nicotinamide adenine
process serine family amino
process via cystine using
process via diaminopimelic acid
programmed cell death activation
programmed cell death induction
programmed cell death inhibition
proline via ornithine arginine
prosthetic group metabolic process
protein amino acid N-linked
protein amino acid O-linked
protein amino acid dephosphorylation
protein amino acid phosphorylation
protein biosynthetic process positive
protein kinase pathway positive
protein kinase-mediated signal transduction
protein phosphatase 2 activity
protein phosphatase 3 activity
protein phosphatase type 2A
protein phosphatase type 2B
proteoglycan anabolism polysaccharide chain
proteoglycan biosynthesis polysaccharide chain
proteoglycan biosynthetic process enzymatic
proteoglycan biosynthetic process linkage
proteoglycan biosynthetic process polysaccharide
proteoglycan formation polysaccharide chain
proteoglycan synthesis polysaccharide chain
purine base metabolic process
purine nucleobase metabolic process
pyrimidine base metabolic process
pyrimidine nucleobase metabolic process
pyruvate family amino acid
pyruvate using cysteine dioxygenase
reactive oxidative species production
reactive oxygen intermediate production
reactive oxygen species production
reduced nicotinamide adenine dinucleotide
repair via homologous recombination
repair via single-strand annealing
resistance gene-dependent defense response
salicylic acid-mediated defense response
salicylic acid-mediated signal transduction
serine family amino acid
signal transduction pathway activation
signal transduction pathway downregulation
signal transduction pathway induction
signal transduction pathway inhibition
signal transduction pathway modulation
signal transduction pathway negative
signal transduction pathway positive
signal transduction pathway stimulation
signal transduction pathway suppression
signal transduction pathway up-regulation
signal transduction pathway upregulation
site formation via L-cysteine
small GTPase mediated signal
spermidine using deoxyhypusine synthase
splicing via endonucleolytic cleavage
sulfate proteoglycan anabolism polysaccharide
sulfate proteoglycan biosynthetic process
sulfate proteoglycan formation polysaccharide
sulfate proteoglycan synthesis polysaccharide
sulfur amino acid metabolic
sulfur amino acid metabolism
sulphate proteoglycan biosynthesis polysaccharide
symbiont programmed cell death
symbiotic interaction energy taxis
symbiotic interaction iron incorporation
symbiotic interaction negative aerotaxis
symbiotic interaction negative chemotaxis
symbiotic interaction negative energy
symbiotic interaction negative regulation
symbiotic interaction pathogen-associated molecular
symbiotic interaction positive aerotaxis
symbiotic interaction positive chemotaxis
symbiotic interaction positive energy
symbiotic interaction positive regulation
synthesis polysaccharide chain synthesis
tetrairon tetrasulfide iron incorporation
tetrairon tetrasulphide iron incorporation
thiamine diphosphate biosynthetic process
thiazolecarboxylic acid peptide cross-linking
thymidylate synthase biosynthetic process
transduction pathway negative modulation
transduction pathway negative regulation
transduction pathway positive regulation
type 2A activity positive
type II secretion system
type III secretion system
type IV secretion system
using cysteine dioxygenase L-cysteine
using cystine reductase L-cysteine
using deoxyhypusine synthase spermidine
using glutamate synthase NADPH
using glutathione-cystine transhydrogenase L-cysteine
via cystine using cysteine
via cystine using cystine
via cystine using glutathione-cystine
via diaminopimelate dehydrogenase pathway
via diaminopimelate diaminopimelate-aminotransferase pathway
via pentakis-L-cysteinyl L-histidino nickel
via phytyl diphosphate chlorophyll
via tris-L-cysteinyl L-cysteine persulfido
via tris-L-cysteinyl L-cysteine persulphido
wall callose deposition modulation
